"municipio","data","taxa_desemprego","fonte","taxa_informalidade","desemprego_informalidade"
"Aracaju (SE)","2015-03",10,"PNAD",,
"Belo Horizonte (MG)","2015-03",9.5,"PNAD",,
"Belém (PA)","2015-03",12.8,"PNAD",,
"Brasília (DF)","2015-03",10.4,"PNAD",,
"Campo Grande (MS)","2015-03",6.5,"PNAD",,
"Curitiba (PR)","2015-03",6.5,"PNAD",,
"Fortaleza (CE)","2015-03",9.7,"PNAD",,
"Goiânia (GO)","2015-03",6.1,"PNAD",,
"Grande Vitória (ES)","2015-03",11,"PNAD",,
"Porto Alegre (RS)","2015-03",6.1,"PNAD",,
"Recife (PE)","2015-03",5.7,"PNAD",,
"Rio Branco (AC)","2015-03",10.3,"PNAD",,
"Rio de Janeiro (RJ)","2015-03",5.2,"PNAD",,
"Salvador (BA)","2015-03",16.3,"PNAD",,
"São Luís (MA)","2015-03",14.8,"PNAD",,
"São Paulo (SP)","2015-03",8.3,"PNAD",,
"Aracaju (SE)","2015-04",10.9,"PNAD",28.7,39.6
"Belo Horizonte (MG)","2015-04",9.4,"PNAD",29.3,38.7
"Belém (PA)","2015-04",12,"PNAD",49.5,61.5
"Brasília (DF)","2015-04",9.8,"PNAD",25.3,35.1
"Campo Grande (MS)","2015-04",5.3,"PNAD",34.7,40
"Curitiba (PR)","2015-04",5.5,"PNAD",21.3,26.8
"Fortaleza (CE)","2015-04",7.8,"PNAD",40.5,48.3
"Goiânia (GO)","2015-04",6.3,"PNAD",34.6,40.9
"Grande Vitória (ES)","2015-04",12.4,"PNAD",27.9,40.3
"Porto Alegre (RS)","2015-04",7,"PNAD",24.4,31.4
"Recife (PE)","2015-04",9.6,"PNAD",30.2,39.8
"Rio Branco (AC)","2015-04",10.5,"PNAD",39.6,50.1
"Rio de Janeiro (RJ)","2015-04",5.3,"PNAD",25,30.3
"Salvador (BA)","2015-04",13.2,"PNAD",34.4,47.6
"São Luís (MA)","2015-04",13.8,"PNAD",38,51.8
"São Paulo (SP)","2015-04",8.9,"PNAD",26.7,35.6
"Aracaju (SE)","2016-01",12,"PNAD",28.5,40.5
"Belo Horizonte (MG)","2016-01",13.4,"PNAD",27.9,41.3
"Belém (PA)","2016-01",13.2,"PNAD",48.3,61.5
"Brasília (DF)","2016-01",11.3,"PNAD",25.3,36.6
"Campo Grande (MS)","2016-01",7.4,"PNAD",30.4,37.8
"Curitiba (PR)","2016-01",10.8,"PNAD",20.3,31.1
"Fortaleza (CE)","2016-01",11,"PNAD",37.4,48.4
"Goiânia (GO)","2016-01",9.4,"PNAD",34.1,43.5
"Grande Vitória (ES)","2016-01",14.3,"PNAD",27.5,41.8
"Porto Alegre (RS)","2016-01",8.9,"PNAD",25.6,34.5
"Recife (PE)","2016-01",10.2,"PNAD",30.4,40.6
"Rio Branco (AC)","2016-01",12,"PNAD",39.4,51.4
"Rio de Janeiro (RJ)","2016-01",6.8,"PNAD",25.2,32
"Salvador (BA)","2016-01",17.6,"PNAD",31.7,49.3
"São Luís (MA)","2016-01",16.9,"PNAD",41,57.9
"São Paulo (SP)","2016-01",11,"PNAD",25.4,36.4
"Aracaju (SE)","2016-02",16.5,"PNAD",24.2,40.7
"Belo Horizonte (MG)","2016-02",12.1,"PNAD",29,41.1
"Belém (PA)","2016-02",13.4,"PNAD",50.8,64.2
"Brasília (DF)","2016-02",11,"PNAD",25.5,36.5
"Campo Grande (MS)","2016-02",7.2,"PNAD",32.2,39.4
"Curitiba (PR)","2016-02",10.3,"PNAD",21.3,31.6
"Fortaleza (CE)","2016-02",11.4,"PNAD",39.2,50.6
"Goiânia (GO)","2016-02",7.8,"PNAD",34.8,42.6
"Grande Vitória (ES)","2016-02",14.9,"PNAD",28.3,43.2
"Porto Alegre (RS)","2016-02",8.8,"PNAD",26.2,35
"Recife (PE)","2016-02",11.7,"PNAD",32.5,44.2
"Rio Branco (AC)","2016-02",13.3,"PNAD",37,50.3
"Rio de Janeiro (RJ)","2016-02",7.4,"PNAD",26.7,34.1
"Salvador (BA)","2016-02",17.8,"PNAD",35.1,52.9
"São Luís (MA)","2016-02",16.8,"PNAD",41.2,58
"São Paulo (SP)","2016-02",10.6,"PNAD",26.5,37.1
"Aracaju (SE)","2016-03",18.4,"PNAD",27,45.4
"Belo Horizonte (MG)","2016-03",11.8,"PNAD",30,41.8
"Belém (PA)","2016-03",15.2,"PNAD",48.5,63.7
"Brasília (DF)","2016-03",12.1,"PNAD",26.5,38.6
"Campo Grande (MS)","2016-03",7.7,"PNAD",32.5,40.2
"Curitiba (PR)","2016-03",10.1,"PNAD",22.7,32.8
"Fortaleza (CE)","2016-03",13.1,"PNAD",41.4,54.5
"Goiânia (GO)","2016-03",8,"PNAD",34.9,42.9
"Grande Vitória (ES)","2016-03",16.2,"PNAD",29.8,46
"Porto Alegre (RS)","2016-03",9.2,"PNAD",25,34.2
"Recife (PE)","2016-03",14.4,"PNAD",31.7,46.1
"Rio Branco (AC)","2016-03",14.1,"PNAD",36.5,50.6
"Rio de Janeiro (RJ)","2016-03",7.9,"PNAD",28,35.9
"Salvador (BA)","2016-03",17.2,"PNAD",37.3,54.5
"São Luís (MA)","2016-03",16.1,"PNAD",44.1,60.2
"São Paulo (SP)","2016-03",12.7,"PNAD",26.9,39.6
"Aracaju (SE)","2016-04",17.5,"PNAD",27.1,44.6
"Belo Horizonte (MG)","2016-04",11.6,"PNAD",28.7,40.3
"Belém (PA)","2016-04",13.6,"PNAD",48,61.6
"Brasília (DF)","2016-04",14,"PNAD",26.9,40.9
"Campo Grande (MS)","2016-04",7.4,"PNAD",32,39.4
"Curitiba (PR)","2016-04",8.7,"PNAD",25.3,34
"Fortaleza (CE)","2016-04",11.1,"PNAD",40.1,51.2
"Goiânia (GO)","2016-04",8.4,"PNAD",35.1,43.5
"Grande Vitória (ES)","2016-04",16,"PNAD",31.6,47.6
"Porto Alegre (RS)","2016-04",9.2,"PNAD",25.4,34.6
"Recife (PE)","2016-04",13.6,"PNAD",34.8,48.4
"Rio Branco (AC)","2016-04",13,"PNAD",39.2,52.2
"Rio de Janeiro (RJ)","2016-04",10.5,"PNAD",29.3,39.8
"Salvador (BA)","2016-04",16.7,"PNAD",37.8,54.5
"São Luís (MA)","2016-04",17.9,"PNAD",44.2,62.1
"São Paulo (SP)","2016-04",12.4,"PNAD",29.3,41.7
"Aracaju (SE)","2017-01",17.3,"PNAD",26,43.3
"Belo Horizonte (MG)","2017-01",14.5,"PNAD",29.3,43.8
"Belém (PA)","2017-01",14.7,"PNAD",49.1,63.8
"Brasília (DF)","2017-01",14.3,"PNAD",26.6,40.9
"Campo Grande (MS)","2017-01",8.9,"PNAD",29.2,38.1
"Curitiba (PR)","2017-01",11.3,"PNAD",25.6,36.9
"Fortaleza (CE)","2017-01",13.1,"PNAD",38.1,51.2
"Goiânia (GO)","2017-01",8.9,"PNAD",35.1,44
"Grande Vitória (ES)","2017-01",16.7,"PNAD",31.1,47.8
"Porto Alegre (RS)","2017-01",10.3,"PNAD",25.7,36
"Recife (PE)","2017-01",14.5,"PNAD",34.1,48.6
"Rio Branco (AC)","2017-01",16.3,"PNAD",40.4,56.7
"Rio de Janeiro (RJ)","2017-01",11.5,"PNAD",29.9,41.4
"Salvador (BA)","2017-01",15.3,"PNAD",38.1,53.4
"São Luís (MA)","2017-01",19.6,"PNAD",42.5,62.1
"São Paulo (SP)","2017-01",14.3,"PNAD",29.3,43.6
"Aracaju (SE)","2017-02",16.2,"PNAD",29.7,45.9
"Belo Horizonte (MG)","2017-02",13.3,"PNAD",29.2,42.5
"Belém (PA)","2017-02",13.1,"PNAD",51,64.1
"Brasília (DF)","2017-02",13.3,"PNAD",27.3,40.6
"Campo Grande (MS)","2017-02",9.3,"PNAD",29.9,39.2
"Curitiba (PR)","2017-02",10.6,"PNAD",27.4,38
"Fortaleza (CE)","2017-02",12.6,"PNAD",41.6,54.2
"Goiânia (GO)","2017-02",8.1,"PNAD",37.4,45.5
"Grande Vitória (ES)","2017-02",16.8,"PNAD",32.1,48.9
"Porto Alegre (RS)","2017-02",9.1,"PNAD",29.2,38.3
"Recife (PE)","2017-02",14.6,"PNAD",36,50.6
"Rio Branco (AC)","2017-02",15.1,"PNAD",41.7,56.8
"Rio de Janeiro (RJ)","2017-02",13.1,"PNAD",31.1,44.2
"Salvador (BA)","2017-02",16.1,"PNAD",37.1,53.2
"São Luís (MA)","2017-02",20.1,"PNAD",41.4,61.5
"São Paulo (SP)","2017-02",13.5,"PNAD",31.2,44.7
"Aracaju (SE)","2017-03",13.9,"PNAD",28.9,42.8
"Belo Horizonte (MG)","2017-03",14.5,"PNAD",29.2,43.7
"Belém (PA)","2017-03",12.9,"PNAD",49,61.9
"Brasília (DF)","2017-03",12.3,"PNAD",28.6,40.9
"Campo Grande (MS)","2017-03",8.5,"PNAD",31.7,40.2
"Curitiba (PR)","2017-03",10.7,"PNAD",29.9,40.6
"Fortaleza (CE)","2017-03",11.1,"PNAD",43,54.1
"Goiânia (GO)","2017-03",6.8,"PNAD",36.1,42.9
"Grande Vitória (ES)","2017-03",15,"PNAD",33.4,48.4
"Porto Alegre (RS)","2017-03",8.2,"PNAD",27.7,35.9
"Recife (PE)","2017-03",15.2,"PNAD",35.6,50.8
"Rio Branco (AC)","2017-03",14.7,"PNAD",41.1,55.8
"Rio de Janeiro (RJ)","2017-03",12.2,"PNAD",33.2,45.4
"Salvador (BA)","2017-03",14.4,"PNAD",40,54.4
"São Luís (MA)","2017-03",18.1,"PNAD",40.1,58.2
"São Paulo (SP)","2017-03",13.3,"PNAD",31.5,44.8
"Aracaju (SE)","2017-04",14.6,"PNAD",35.1,49.7
"Belo Horizonte (MG)","2017-04",11.3,"PNAD",29.5,40.8
"Belém (PA)","2017-04",12.3,"PNAD",50.2,62.5
"Brasília (DF)","2017-04",13.4,"PNAD",27.8,41.2
"Campo Grande (MS)","2017-04",5.7,"PNAD",31.1,36.8
"Curitiba (PR)","2017-04",9.7,"PNAD",28.7,38.4
"Fortaleza (CE)","2017-04",9.8,"PNAD",42.7,52.5
"Goiânia (GO)","2017-04",7.1,"PNAD",36.6,43.7
"Grande Vitória (ES)","2017-04",14,"PNAD",34.2,48.2
"Porto Alegre (RS)","2017-04",8.3,"PNAD",29,37.3
"Recife (PE)","2017-04",17.7,"PNAD",33.1,50.8
"Rio Branco (AC)","2017-04",13.4,"PNAD",44.1,57.5
"Rio de Janeiro (RJ)","2017-04",12.9,"PNAD",32.6,45.5
"Salvador (BA)","2017-04",13.6,"PNAD",41.5,55.1
"São Luís (MA)","2017-04",20.2,"PNAD",40.4,60.6
"São Paulo (SP)","2017-04",13.7,"PNAD",30.4,44.1
"Aracaju (SE)","2018-01",17.4,"PNAD",33.1,50.5
"Belo Horizonte (MG)","2018-01",14,"PNAD",29.4,43.4
"Belém (PA)","2018-01",13.8,"PNAD",49.1,62.9
"Brasília (DF)","2018-01",14.1,"PNAD",26.6,40.7
"Campo Grande (MS)","2018-01",7.3,"PNAD",32.9,40.2
"Curitiba (PR)","2018-01",10.6,"PNAD",27.8,38.4
"Fortaleza (CE)","2018-01",12.2,"PNAD",43.1,55.3
"Goiânia (GO)","2018-01",8.4,"PNAD",35.4,43.8
"Grande Vitória (ES)","2018-01",15,"PNAD",33.8,48.8
"Porto Alegre (RS)","2018-01",9.6,"PNAD",28,37.6
"Recife (PE)","2018-01",18.6,"PNAD",31.8,50.4
"Rio Branco (AC)","2018-01",15.1,"PNAD",44.4,59.5
"Rio de Janeiro (RJ)","2018-01",12.8,"PNAD",32,44.8
"Salvador (BA)","2018-01",15.6,"PNAD",38.8,54.4
"São Luís (MA)","2018-01",19.6,"PNAD",42.9,62.5
"São Paulo (SP)","2018-01",14.4,"PNAD",30.8,45.2
"Aracaju (SE)","2018-02",16.8,"PNAD",35.3,52.1
"Belo Horizonte (MG)","2018-02",12.7,"PNAD",32.5,45.2
"Belém (PA)","2018-02",13.5,"PNAD",49.6,63.1
"Brasília (DF)","2018-02",12.3,"PNAD",28.1,40.4
"Campo Grande (MS)","2018-02",6.7,"PNAD",33.1,39.8
"Curitiba (PR)","2018-02",10.7,"PNAD",25.9,36.6
"Fortaleza (CE)","2018-02",10.8,"PNAD",41.4,52.2
"Goiânia (GO)","2018-02",7.1,"PNAD",36.5,43.6
"Grande Vitória (ES)","2018-02",14.9,"PNAD",34.7,49.6
"Porto Alegre (RS)","2018-02",9.7,"PNAD",29.3,39
"Recife (PE)","2018-02",16.2,"PNAD",34.3,50.5
"Rio Branco (AC)","2018-02",14.2,"PNAD",44,58.2
"Rio de Janeiro (RJ)","2018-02",13,"PNAD",33,46
"Salvador (BA)","2018-02",17.5,"PNAD",39.4,56.9
"São Luís (MA)","2018-02",16,"PNAD",40.7,56.7
"São Paulo (SP)","2018-02",14.9,"PNAD",31.9,46.8
"Aracaju (SE)","2018-03",17.3,"PNAD",34,51.3
"Belo Horizonte (MG)","2018-03",11.8,"PNAD",32.4,44.2
"Belém (PA)","2018-03",14.7,"PNAD",49.9,64.6
"Brasília (DF)","2018-03",12.7,"PNAD",28.7,41.4
"Campo Grande (MS)","2018-03",6.3,"PNAD",34.1,40.4
"Curitiba (PR)","2018-03",8.7,"PNAD",27.2,35.9
"Fortaleza (CE)","2018-03",10.1,"PNAD",42.6,52.7
"Goiânia (GO)","2018-03",6.8,"PNAD",37.2,44
"Grande Vitória (ES)","2018-03",13.6,"PNAD",34.1,47.7
"Porto Alegre (RS)","2018-03",10.4,"PNAD",30.9,41.3
"Recife (PE)","2018-03",16.9,"PNAD",35.6,52.5
"Rio Branco (AC)","2018-03",14.3,"PNAD",41.6,55.9
"Rio de Janeiro (RJ)","2018-03",12.3,"PNAD",33.2,45.5
"Salvador (BA)","2018-03",16.4,"PNAD",38.8,55.2
"São Luís (MA)","2018-03",14.8,"PNAD",44,58.8
"São Paulo (SP)","2018-03",14.2,"PNAD",32.3,46.5
"Aracaju (SE)","2018-04",14.8,"PNAD",35.1,49.9
"Belo Horizonte (MG)","2018-04",12,"PNAD",31.9,43.9
"Belém (PA)","2018-04",12.4,"PNAD",51,63.4
"Brasília (DF)","2018-04",12.1,"PNAD",29.2,41.3
"Campo Grande (MS)","2018-04",6.2,"PNAD",33.5,39.7
"Curitiba (PR)","2018-04",7.8,"PNAD",25.8,33.6
"Fortaleza (CE)","2018-04",10,"PNAD",42.9,52.9
"Goiânia (GO)","2018-04",5.6,"PNAD",36.8,42.4
"Grande Vitória (ES)","2018-04",12.3,"PNAD",34.5,46.8
"Porto Alegre (RS)","2018-04",8.7,"PNAD",30.5,39.2
"Recife (PE)","2018-04",14.8,"PNAD",37.2,52
"Rio Branco (AC)","2018-04",12.9,"PNAD",42.1,55
"Rio de Janeiro (RJ)","2018-04",12.3,"PNAD",32,44.3
"Salvador (BA)","2018-04",15.5,"PNAD",40.3,55.8
"São Luís (MA)","2018-04",16.2,"PNAD",45.1,61.3
"São Paulo (SP)","2018-04",13.7,"PNAD",32.8,46.5
"Aracaju (SE)","2019-01",13.4,"PNAD",35.1,48.5
"Belo Horizonte (MG)","2019-01",12.4,"PNAD",32.2,44.6
"Belém (PA)","2019-01",15,"PNAD",50,65
"Brasília (DF)","2019-01",14.2,"PNAD",28.4,42.6
"Campo Grande (MS)","2019-01",8.2,"PNAD",36.2,44.4
"Curitiba (PR)","2019-01",8.4,"PNAD",26.4,34.8
"Fortaleza (CE)","2019-01",11,"PNAD",41.5,52.5
"Goiânia (GO)","2019-01",7.4,"PNAD",36,43.4
"Grande Vitória (ES)","2019-01",13.5,"PNAD",36.1,49.6
"Porto Alegre (RS)","2019-01",9.2,"PNAD",30.3,39.5
"Recife (PE)","2019-01",15.6,"PNAD",34.7,50.3
"Rio Branco (AC)","2019-01",19.3,"PNAD",42.9,62.2
"Rio de Janeiro (RJ)","2019-01",13.2,"PNAD",32.6,45.8
"Salvador (BA)","2019-01",15.8,"PNAD",40.1,55.9
"São Luís (MA)","2019-01",18.2,"PNAD",45.2,63.4
"São Paulo (SP)","2019-01",14.3,"PNAD",31.4,45.7
"Aracaju (SE)","2019-02",14.2,"PNAD",39.3,53.5
"Belo Horizonte (MG)","2019-02",10.9,"PNAD",32.5,43.4
"Belém (PA)","2019-02",14.7,"PNAD",49.6,64.3
"Brasília (DF)","2019-02",13.8,"PNAD",30.1,43.9
"Campo Grande (MS)","2019-02",8.2,"PNAD",35.8,44
"Curitiba (PR)","2019-02",9.1,"PNAD",27.3,36.4
"Fortaleza (CE)","2019-02",10.5,"PNAD",42.9,53.4
"Goiânia (GO)","2019-02",7.8,"PNAD",37.1,44.9
"Grande Vitória (ES)","2019-02",12.2,"PNAD",35.1,47.3
"Porto Alegre (RS)","2019-02",8.8,"PNAD",29.4,38.2
"Recife (PE)","2019-02",16.7,"PNAD",34.9,51.6
"Rio Branco (AC)","2019-02",15.3,"PNAD",41.4,56.7
"Rio de Janeiro (RJ)","2019-02",12.7,"PNAD",34,46.7
"Salvador (BA)","2019-02",17.9,"PNAD",41.9,59.8
"São Luís (MA)","2019-02",17.7,"PNAD",48.7,66.4
"São Paulo (SP)","2019-02",13.5,"PNAD",31.9,45.4
"Aracaju (SE)","2019-03",15.4,"PNAD",39.8,55.2
"Belo Horizonte (MG)","2019-03",11.2,"PNAD",31.9,43.1
"Belém (PA)","2019-03",13.8,"PNAD",49.2,63
"Brasília (DF)","2019-03",13.2,"PNAD",30.3,43.5
"Campo Grande (MS)","2019-03",6.9,"PNAD",36.2,43.1
"Curitiba (PR)","2019-03",10.1,"PNAD",28,38.1
"Fortaleza (CE)","2019-03",11.7,"PNAD",43.2,54.9
"Goiânia (GO)","2019-03",6.4,"PNAD",38,44.4
"Grande Vitória (ES)","2019-03",11.8,"PNAD",34.2,46
"Porto Alegre (RS)","2019-03",9.8,"PNAD",26.9,36.7
"Recife (PE)","2019-03",17.9,"PNAD",35.7,53.6
"Rio Branco (AC)","2019-03",14.6,"PNAD",41.4,56
"Rio de Janeiro (RJ)","2019-03",12.5,"PNAD",34,46.5
"Salvador (BA)","2019-03",15.2,"PNAD",41.4,56.6
"São Luís (MA)","2019-03",16,"PNAD",46.6,62.6
"São Paulo (SP)","2019-03",12.7,"PNAD",34.1,46.8
"Aracaju (SE)","2019-04",14.4,"PNAD",36.5,50.9
"Belo Horizonte (MG)","2019-04",10.2,"PNAD",32.3,42.5
"Belém (PA)","2019-04",11.3,"PNAD",52.1,63.4
"Brasília (DF)","2019-04",12.6,"PNAD",29.5,42.1
"Campo Grande (MS)","2019-04",6.2,"PNAD",35.3,41.5
"Curitiba (PR)","2019-04",7.9,"PNAD",27.4,35.3
"Fortaleza (CE)","2019-04",10.3,"PNAD",43.1,53.4
"Goiânia (GO)","2019-04",7.4,"PNAD",37,44.4
"Grande Vitória (ES)","2019-04",12.4,"PNAD",33.6,46
"Porto Alegre (RS)","2019-04",7.1,"PNAD",27.6,34.7
"Recife (PE)","2019-04",14.3,"PNAD",38.7,53
"Rio Branco (AC)","2019-04",15,"PNAD",40.4,55.4
"Rio de Janeiro (RJ)","2019-04",12.1,"PNAD",34.9,47
"Salvador (BA)","2019-04",15.4,"PNAD",40.4,55.8
"São Luís (MA)","2019-04",13,"PNAD",48.4,61.4
"São Paulo (SP)","2019-04",12.4,"PNAD",33.5,45.9
"Aracaju (SE)","2020-01",15.2,"PNAD",35.1,50.3
"Belo Horizonte (MG)","2020-01",13,"PNAD",29.7,42.7
"Belém (PA)","2020-01",13.4,"PNAD",49.4,62.8
"Brasília (DF)","2020-01",13.6,"PNAD",29.8,43.4
"Campo Grande (MS)","2020-01",8.7,"PNAD",37.6,46.3
"Curitiba (PR)","2020-01",9.5,"PNAD",26.2,35.7
"Fortaleza (CE)","2020-01",12.1,"PNAD",42.2,54.3
"Goiânia (GO)","2020-01",7.4,"PNAD",37.7,45.1
"Grande Vitória (ES)","2020-01",13.1,"PNAD",34,47.1
"Porto Alegre (RS)","2020-01",10.2,"PNAD",25.9,36.1
"Recife (PE)","2020-01",14.3,"PNAD",40,54.3
"Rio Branco (AC)","2020-01",15.1,"PNAD",43.1,58.2
"Rio de Janeiro (RJ)","2020-01",13.2,"PNAD",34.9,48.1
"Salvador (BA)","2020-01",17.7,"PNAD",36.9,54.6
"São Luís (MA)","2020-01",16.1,"PNAD",49.8,65.9
"São Paulo (SP)","2020-01",13.3,"PNAD",30.8,44.1
"Aracaju (SE)","2020-02",,"PNAD",,
"Belo Horizonte (MG)","2020-02",,"PNAD",,
"Belém (PA)","2020-02",,"PNAD",,
"Brasília (DF)","2020-02",,"PNAD",,
"Campo Grande (MS)","2020-02",,"PNAD",,
"Curitiba (PR)","2020-02",,"PNAD",,
"Fortaleza (CE)","2020-02",,"PNAD",,
"Goiânia (GO)","2020-02",,"PNAD",,
"Grande Vitória (ES)","2020-02",,"PNAD",,
"Porto Alegre (RS)","2020-02",,"PNAD",,
"Recife (PE)","2020-02",,"PNAD",,
"Rio Branco (AC)","2020-02",,"PNAD",,
"Rio de Janeiro (RJ)","2020-02",,"PNAD",,
"Salvador (BA)","2020-02",,"PNAD",,
"São Luís (MA)","2020-02",,"PNAD",,
"São Paulo (SP)","2020-02",,"PNAD",,
"Aracaju (SE)","2020-03",,"PNAD",,
"Belo Horizonte (MG)","2020-03",,"PNAD",,
"Belém (PA)","2020-03",,"PNAD",,
"Brasília (DF)","2020-03",,"PNAD",,
"Campo Grande (MS)","2020-03",,"PNAD",,
"Curitiba (PR)","2020-03",,"PNAD",,
"Fortaleza (CE)","2020-03",,"PNAD",,
"Goiânia (GO)","2020-03",,"PNAD",,
"Grande Vitória (ES)","2020-03",,"PNAD",,
"Porto Alegre (RS)","2020-03",,"PNAD",,
"Recife (PE)","2020-03",,"PNAD",,
"Rio Branco (AC)","2020-03",,"PNAD",,
"Rio de Janeiro (RJ)","2020-03",,"PNAD",,
"Salvador (BA)","2020-03",,"PNAD",,
"São Luís (MA)","2020-03",,"PNAD",,
"São Paulo (SP)","2020-03",,"PNAD",,
